F300,CC=1C=CC=C(NC(=O)CN2CCOCC2)C1C
F301,CC=1C=CC=C(NC(=O)[C@@H]2CCCN2)N1
F302,CC=1C=CC=C(NC=2N=CN=C3N(C)N=CC23)C1
F303,CC=1C=CC=C(NCC2CCNC2)N1
F304,CC=1C=CC=C(O)C1NC(=O)C=2C=CN=CC2F
F305,CC=1C=CC=CC1CC(=O)N
F306,CC=1C=CC=CC1N2C=C(N=N2)C(=O)O
F307,CC=1C=CC=CC1OCC(=O)NC=2C=CC=CC2
F308,CC=1C=CSC1C(=O)NCC=2C=CC(C)=CC2
F309,CC=1C=CSC1C(=O)O
F310,CC=1C=NC=2N(CC(=O)O)N=CC2C1
F311,CC=1C=NC=C(NCC=2C=CN=CC2)C1
F312,CC=1N=C(C)N(CCC(=O)O)N1
F313,CC=1N=CC=C(N1)N2CCC(N)CC2
F314,CC=1N=CSC1C(=O)N2CCNC(=O)C2
F315,CC=1N=CSC1C(=O)NCC2CCCC2
F316,CC=1NNC(=O)C1CCO
F317,CC=1OC=CC1C(=O)N2CCC=3C=CC=CC23
F318,CC=1OC=CC1C(=O)NC=2C=CN=CC2
F319,CC=1OC=CC1C(=O)NCC2=CC=CO2
F320,CC=1SC(N)=NC1C=2C=CC(C)=C(C)C2
F321,CCC(=O)N1CCCC(C1)NS(=O)(=O)C
F322,CCC(=O)NC1=C(OC=2C=CC=CC12)C(=O)N
F323,CCC(=O)NC1=NC(C)=CS1
F324,CCC(=O)NC1CCNC1
F325,CCC(=O)NC=1C=CC(=CC1)C(C)N
F326,CCC(=O)NC=1C=CC(=CC1)N2CCC(C)CC2
F327,CCC(=O)NC=1C=CC(=CC1)S(=O)(=O)N
F328,CCC(=O)NC=1C=CC=2NC(=O)NC2C1
F329,CCC(=O)NC=1C=CC=C(N)C1C
F330,CCC(=O)NC=1C=CC=CC1C#N
F331,CCC(=O)NCC1=NN=C2CCCCN12
F332,CCC(C)(C)NC(=O)C1=CC(C)=NN1
F333,CCC(C)(C)NC(=O)C1=CC(C)=NN1C
F334,CCC(C)(C)NC(=O)C1=CN=C(C)S1
F335,CCC(CC)C(=O)NC1=NC=CS1
F336,CCC(NC)C=1C=CN=CC1
F337,CCC1(O)CCN(C1)C=2C=CC(F)=CN2
F338,CCC1=CC=C(S1)C(=O)NCC=2C=NN(C)C2
F339,CCC1=CSC(=N1)C2=CNC=N2
F340,CCC1=NC(=NO1)C2CCCN2
F341,CCC1=NC(CN2C=CC=CC2=O)=NO1
F342,CCC1=NC=C(CNC)S1
F343,CCC1=NN=C(NC(=O)C(F)(F)F)S1
F344,CCC1=NN=C(NC(=O)C2CCCO2)S1
F345,CCC1=NOC(=N1)C(C)N2CCOCC2
F346,CCC1=NOC(C)=C1CN2C=CC(C)=N2
F347,CCC1=NOC(CN2CCCC(O)C2)=N1
F348,CCC1CCC(CC1)NC[C@H]2CCCO2
F349,CCC1CN(CCO1)S(=O)(=O)N(C)C
F350,CCC=1C=CC(=CC1)C=2N=C(N)SC2C
F351,CCC=1C=CC(NC(=O)C=2C=NC=CN2)=CC1
F352,CCC=1C=CC(OCC(=O)N2CCCCC2)=CC1
F353,CCCC(=O)NCC1=NC=2C=CC=CC2N1
F354,CCCC1=CC(=O)OC=2C=C(OC(=O)C)C=CC12
F355,CCCC1=NN=C(NC(=O)C=2C=CC=CN2)S1
F356,CCCN1C(NC(=O)CC)=NC=2C=CC=CC12
F357,CCN(C)C(=O)C=1C=CC=C(N)C1
F358,CCN(C)C(=O)NC1=CN=NS1
F359,CCN(CC)C(=O)C1=CC(C)=NO1
F360,CCN(CC)C(=O)C=1C=CC=CC1C
F361,CCN(CC)C(=O)C=1C=CN=C(C)N1
F362,CCN(CC)C1=CC(C)=NC2=NC=NN12
F363,CCN(CC)C=1C=CC=C(O)C1
F364,CCN(CC)S(=O)(=O)C=1C=CC(C)=CC1
F365,CCN(CCO)C=1C=CC(N)=CC1
F366,CCN1C=C(CCO)C=N1
F367,CCN1C=C(CNC(=O)C=2C=CC=NC2)C=N1
F368,CCN1C=C(NC(=O)C2CCC2)C=N1
F369,CCN1C=C(NC(=O)C2CCCC2)C=N1
F370,CCN1C=CC(CNC)=N1
F371,CCN1C=NN=C1CNC(=O)N2CCC2
F372,CCN1CCC(CC1)NC=2C=CC=CC2F
F373,CCN1N=C(CC1=O)C(F)(F)F
F374,CCNC(=O)C1=CNN=N1
F375,CCNC(=O)C=1C=CC(N(C)C)=C(F)C1
F376,CCNC(=O)CN1CC(C)OCC1C
F377,CCNC(=O)N1CCN(CC1)C(=O)C
F378,CCNC(=O)NC=1C=C(C)ON1
F379,CCNC1CCN(CC1)C=2C=CN=CC2
F380,CCNC=1C=CC(=CC1F)S(=O)(=O)C
F381,CCNC=1C=CC(C#N)=CN1
F382,CCNC=1C=CC(C)=NN1
F383,CCNC=1N=CC=CC1C
F384,CCNCC1=CN(C)N=N1
F385,CCNCC=1C=CC=C2NC=CC12
F386,CCOC(=O)C1=CC(=NO1)C=2C=CC(C)=CC2
F387,CCOC(=O)C1CCN(CC1)C=2C=NC=CN2
F388,CCOC(=O)C=1C=CC(F)=CC1F
F389,CCOC(=O)C=1C=NNC1
F390,CCOC(=O)C=1SC(=NC1C)N(C)C(=O)C
F391,CCOC(=O)CN1CCCCC1
F392,CCOC(=O)CN1CCS(=O)(=O)CC1
F393,CCOC(=O)N1CCOCC1
F394,CCOC(=O)NC=1C=CC=C(Cl)C1
F395,CCOC(=O)NCC=1C=CC=CC1
F396,CCOC=1C(F)=CC=CC1C(=O)N(C)C
F397,CCOC=1C=CC(=CC1)C(=O)NC=2C=CC=CC2
F398,CCOC=1C=CC(=CC1)C(C)N
F399,CCOC=1C=CC(=CN1)C(=O)N
F400,CCOC=1C=CC(CC(=O)O)=CC1
F401,CCOC=1C=CC(NC(=O)NC(C)(C)C)=CC1
F402,CCOC=1N=CC=CC1C(=O)N
F403,CCOC=1N=CC=CC1C(=O)N(C)C
F404,CCS(=O)(=O)N1CCC(CC1)C(=O)O
F405,CCS(=O)(=O)N1CCC(CC1)NC(=O)C
F406,CCS(=O)(=O)NC=1C=CC=CC1F
F407,CCS(=O)(=O)NCC=1C=CC=2OCOC2C1
F408,CN(C(=O)C)C=1C=CC=CC1C(=O)O
F409,CN(C(=O)C)C=1C=CC=NC1
F410,CN(C(=O)[C@H]1CC1(C)C)C=2C=CC=NC2
F411,CN(C)C(=O)C1(CC1)C(=O)O
F412,CN(C)C(=O)C1=CC(=NO1)C2CCCC2
F413,CN(C)C(=O)C1=CC=2C=CC=C(F)C2O1
F414,CN(C)C(=O)C1CCCC(N)C1
F415,CN(C)C(=O)C=1C=C(NN1)C2CC2
F416,CN(C)C(=O)C=1C=CC(C(=O)O)=C(C)N1
F417,CN(C)C(=O)C=1C=CC(F)=CC1Br
F418,CN(C)C(=O)C=1C=CC=2NCCCC2C1
F419,CN(C)C(=O)C=1C=CC=C(C)C1C
